0 I 6826 <6825, 5> <6827, 5>
1837  L 5568 1837 <5567, 2> <5569, 3>
1838  L 5569 1838 <5568, 3> <5570, 4>
1840  L 5570 1840 <5569, 4> <5571, 3>
1842  L 5571 1842 <5570, 3> <5572, 2>
1843  L 5572 1843 <5571, 2> <5573, 3>
1844  L 5573 1844 <5572, 3> <5574, 5>
1846  L 5574 1846 <5573, 5> <5575, 6>
1847  L 5575 1847 <5574, 6> <5576, 5>
1849  L 5576 1849 <5575, 5> <5577, 5>
1850  L 5577 1850 <5576, 5> <5578, 4>
1852  L 5578 1852 <5577, 4> <5579, 1>
1854  L 5579 1854 <5578, 1> <5580, 5>
1855  L 5580 1855 <5579, 5> <5581, 1>
1856  L 5581 1856 <5580, 1> <5582, 4>
1857  L 5582 1857 <5581, 4> <5583, 2>
1859  L 5583 1859 <5582, 2> <5584, 4>
1860  L 5584 1860 <5583, 4> <5585, 5>
1861  L 5585 1861 <5584, 5> <5586, 3>
1863  L 5586 1863 <5585, 3> <5587, 1>
1865  L 5587 1865 <5586, 1> <5588, 1>
1867  L 5588 1867 <5587, 1> <5589, 1>
1869  L 5589 1869 <5588, 1> <5590, 6>
1870  L 5590 1870 <5589, 6> <5591, 3>
1871  L 5591 1871 <5590, 3> <5592, 4>
1873  L 5592 1873 <5591, 4> <5593, 3>
1874  L 5593 1874 <5592, 3> <5594, 2>
1875  L 5594 1875 <5593, 2> <5595, 6>
1877  L 5595 1877 <5594, 6> <5596, 2>
1878  L 5596 1878 <5595, 2> <5597, 1>
1879  L 5597 1879 <5596, 1> <5598, 3>
1881  L 5598 1881 <5597, 3> <5599, 4>
1882  L 5599 1882 <5598, 4> <5600, 1>
1883  L 5600 1883 <5599, 1> <5601, 2>
1884  L 5601 1884 <5600, 2> <5602, 5>
1886  L 5602 1886 <5601, 5> <5603, 4>
1887  L 5603 1887 <5602, 4> <5604, 2>
1889  L 5604 1889 <5603, 2> <5605, 5>
1891  L 5605 1891 <5604, 5> <5606, 5>
1893  L 5606 1893 <5605, 5> <5607, 1>
1894  L 5607 1894 <5606, 1> <5608, 1>
1896  L 5608 1896 <5607, 1> <5609, 3>
1897  L 5609 1897 <5608, 3> <5610, 3>
1898  L 5610 1898 <5609, 3> <5611, 2>
1899  L 5611 1899 <5610, 2> <5612, 2>
1900  L 5612 1900 <5611, 2> <5613, 5>
1901  L 5613 1901 <5612, 5> <5614, 3>
1903  L 5614 1903 <5613, 3> <5615, 4>
1904  L 5615 1904 <5614, 4> <5616, 4>
1906  L 5616 1906 <5615, 4> <5617, 4>
1907  L 5617 1907 <5616, 4> <5618, 4>
1909  L 5618 1909 <5617, 4> <5619, 3>
1911  L 5619 1911 <5618, 3> <5620, 6>
1912  L 5620 1912 <5619, 6> <5621, 5>
1913  L 5621 1913 <5620, 5> <5622, 1>
1915  L 5622 1915 <5621, 1> <5623, 4>
1916  L 5623 1916 <5622, 4> <5624, 5>
1918  L 5624 1918 <5623, 5> <5625, 6>
1919  L 5625 1919 <5624, 6> <5626, 3>
1920  L 5626 1920 <5625, 3> <5627, 4>
1922  L 5627 1922 <5626, 4> <5628, 1>
1923  L 5628 1923 <5627, 1> <5629, 1>
1924  L 5629 1924 <5628, 1> <5630, 4>
1926  L 5630 1926 <5629, 4> <5631, 1>
1927  L 5631 1927 <5630, 1> <5632, 6>
1928  L 5632 1928 <5631, 6> <5633, 2>
1929  L 5633 1929 <5632, 2> <5634, 4>
1931  L 5634 1931 <5633, 4> <5635, 1>
1932  L 5635 1932 <5634, 1> <5636, 5>
1933  L 5636 1933 <5635, 5> <5637, 3>
1935  L 5637 1935 <5636, 3> <5638, 4>
1936  L 5638 1936 <5637, 4> <5639, 3>
1937  L 5639 1937 <5638, 3> <5640, 1>
1939  L 5640 1939 <5639, 1> <5641, 1>
1940  L 5641 1940 <5640, 1> <5642, 5>
1942  L 5642 1942 <5641, 5> <5643, 6>
1943  L 5643 1943 <5642, 6> <5644, 5>
1945  L 5644 1945 <5643, 5> <5645, 3>
1946  L 5645 1946 <5644, 3> <5646, 3>
1948  L 5646 1948 <5645, 3> <5647, 6>
1949  L 5647 1949 <5646, 6> <5648, 1>
1950  L 5648 1950 <5647, 1> <5649, 2>
1952  L 5649 1952 <5648, 2> <5650, 1>
1953  L 5650 1953 <5649, 1> <5651, 2>
1954  L 5651 1954 <5650, 2> <5652, 5>
1956  L 5652 1956 <5651, 5> <5653, 2>
1957  L 5653 1957 <5652, 2> <5654, 2>
1959  L 5654 1959 <5653, 2> <5655, 3>
1960  L 5655 1960 <5654, 3> <5656, 1>
1961  L 5656 1961 <5655, 1> <5657, 2>
1962  L 5657 1962 <5656, 2> <5658, 4>
1964  L 5658 1964 <5657, 4> <5659, 2>
1966  L 5659 1966 <5658, 2> <5660, 3>
1968  L 5660 1968 <5659, 3> <5661, 3>
1969  L 5661 1969 <5660, 3> <5662, 5>
1970  L 5662 1970 <5661, 5> <5663, 2>
1971  L 5663 1971 <5662, 2> <5664, 2>
1973  L 5664 1973 <5663, 2> <5665, 3>
1974  L 5665 1974 <5664, 3> <5666, 3>
1975  L 5666 1975 <5665, 3> <5667, 5>
1977  L 5667 1977 <5666, 5> <5668, 4>
1978  L 5668 1978 <5667, 4> <5669, 5>
1980  L 5669 1980 <5668, 5> <5670, 4>
1981  L 5670 1981 <5669, 4> <5671, 3>
1983  L 5671 1983 <5670, 3> <5672, 4>
1984  L 5672 1984 <5671, 4> <5673, 2>
1986  L 5673 1986 <5672, 2> <5674, 3>
1988  L 5674 1988 <5673, 3> <5675, 6>
1989  L 5675 1989 <5674, 6> <5676, 6>
1990  L 5676 1990 <5675, 6> <5677, 2>
1992  L 5677 1992 <5676, 2> <5678, 2>
1994  L 5678 1994 <5677, 2> <5679, 3>
1995  L 5679 1995 <5678, 3> <5680, 1>
1997  L 5680 1997 <5679, 1> <5681, 3>
1998  L 5681 1998 <5680, 3> <5682, 3>
2000  L 5682 2000 <5681, 3> <5683, 1>
2002  L 5683 2002 <5682, 1> <5684, 2>
2003  L 5684 2003 <5683, 2> <5685, 1>
2004  L 5685 2004 <5684, 1> <5686, 1>
2005  L 5686 2005 <5685, 1> <5687, 4>
2007  L 5687 2007 <5686, 4> <5688, 5>
2008  L 5688 2008 <5687, 5> <5689, 1>
2010  L 5689 2010 <5688, 1> <5690, 3>
2011  L 5690 2011 <5689, 3> <5691, 2>
2012  L 5691 2012 <5690, 2> <5692, 3>
2014  L 5692 2014 <5691, 3> <5693, 2>
2016  L 5693 2016 <5692, 2> <5694, 3>
2017  L 5694 2017 <5693, 3> <5695, 1>
2019  L 5695 2019 <5694, 1> <5696, 4>
2021  L 5696 2021 <5695, 4> <5697, 2>
2023  L 5697 2023 <5696, 2> <5698, 2>
2025  L 5698 2025 <5697, 2> <5699, 1>
2026  L 5699 2026 <5698, 1> <5700, 1>
2027  L 5700 2027 <5699, 1> <5701, 3>
2029  L 5701 2029 <5700, 3> <5702, 4>
2031  L 5702 2031 <5701, 4> <5703, 4>
2032  L 5703 2032 <5702, 4> <5704, 5>
2034  L 5704 2034 <5703, 5> <5705, 3>
2036  L 5705 2036 <5704, 3> <5706, 5>
2037  L 5706 2037 <5705, 5> <5707, 3>
2038  L 5707 2038 <5706, 3> <5708, 5>
2039  L 5708 2039 <5707, 5> <5709, 4>
2041  L 5709 2041 <5708, 4> <5710, 1>
2042  L 5710 2042 <5709, 1> <5711, 5>
2043  L 5711 2043 <5710, 5> <5712, 5>
2045  L 5712 2045 <5711, 5> <5713, 1>
2047  L 5713 2047 <5712, 1> <5714, 2>
2049  L 5714 2049 <5713, 2> <5715, 6>
2051  L 5715 2051 <5714, 6> <5716, 1>
2052  L 5716 2052 <5715, 1> <5717, 2>
2053  L 5717 2053 <5716, 2> <5718, 5>
2054  L 5718 2054 <5717, 5> <5719, 1>
2055  L 5719 2055 <5718, 1> <5720, 1>
2056  L 5720 2056 <5719, 1> <5721, 1>
2058  L 5721 2058 <5720, 1> <5722, 5>
2059  L 5722 2059 <5721, 5> <5723, 5>
2061  L 5723 2061 <5722, 5> <5724, 1>
2063  L 5724 2063 <5723, 1> <5725, 1>
2064  L 5725 2064 <5724, 1> <5726, 4>
2066  L 5726 2066 <5725, 4> <5727, 6>
2067  L 5727 2067 <5726, 6> <5728, 2>
2068  L 5728 2068 <5727, 2> <5729, 3>
2069  L 5729 2069 <5728, 3> <5730, 1>
2070  L 5730 2070 <5729, 1> <5731, 6>
2072  L 5731 2072 <5730, 6> <5732, 4>
2073  L 5732 2073 <5731, 4> <5733, 1>
2074  L 5733 2074 <5732, 1> <5734, 1>
2076  L 5734 2076 <5733, 1> <5735, 4>
2077  L 5735 2077 <5734, 4> <5736, 6>
2078  L 5736 2078 <5735, 6> <5737, 3>
2080  L 5737 2080 <5736, 3> <5738, 4>
2082  L 5738 2082 <5737, 4> <5739, 1>
2083  L 5739 2083 <5738, 1> <5740, 1>
2085  L 5740 2085 <5739, 1> <5741, 1>
2086  L 5741 2086 <5740, 1> <5742, 4>
2087  L 5742 2087 <5741, 4> <5743, 2>
2089  L 5743 2089 <5742, 2> <5744, 5>
2091  L 5744 2091 <5743, 5> <5745, 1>
2092  L 5745 2092 <5744, 1> <5746, 5>
2093  L 5746 2093 <5745, 5> <5747, 4>
2095  L 5747 2095 <5746, 4> <5748, 4>
2097  L 5748 2097 <5747, 4> <5749, 5>
2098  L 5749 2098 <5748, 5> <5750, 6>
2099  L 5750 2099 <5749, 6> <5751, 4>
2101  L 5751 2101 <5750, 4> <5752, 1>
2102  L 5752 2102 <5751, 1> <5753, 2>
2103  L 5753 2103 <5752, 2> <5754, 3>
2104  L 5754 2104 <5753, 3> <5755, 3>
2105  L 5755 2105 <5754, 3> <5756, 4>
2106  L 5756 2106 <5755, 4> <5757, 5>
2108  L 5757 2108 <5756, 5> <5758, 5>
2110  L 5758 2110 <5757, 5> <5759, 4>
2112  L 5759 2112 <5758, 4> <5760, 5>
2113  L 5760 2113 <5759, 5> <5761, 4>
2115  L 5761 2115 <5760, 4> <5762, 4>
2117  L 5762 2117 <5761, 4> <5763, 4>
2119  L 5763 2119 <5762, 4> <5764, 3>
2121  L 5764 2121 <5763, 3> <5765, 3>
2122  L 5765 2122 <5764, 3> <5766, 1>
2123  L 5766 2123 <5765, 1> <5767, 1>
2124  L 5767 2124 <5766, 1> <5768, 3>
2125  L 5768 2125 <5767, 3> <5769, 3>
2126  L 5769 2126 <5768, 3> <5770, 3>
2128  L 5770 2128 <5769, 3> <5771, 3>
2129  L 5771 2129 <5770, 3> <5772, 3>
2131  L 5772 2131 <5771, 3> <5773, 1>
2133  L 5773 2133 <5772, 1> <5774, 3>
2134  L 5774 2134 <5773, 3> <5775, 3>
2136  L 5775 2136 <5774, 3> <5776, 1>
2137  L 5776 2137 <5775, 1> <5777, 2>
2139  L 5777 2139 <5776, 2> <5778, 3>
2141  L 5778 2141 <5777, 3> <5779, 1>
2142  L 5779 2142 <5778, 1> <5780, 1>
2143  L 5780 2143 <5779, 1> <5781, 2>
2144  L 5781 2144 <5780, 2> <5782, 4>
2146  L 5782 2146 <5781, 4> <5783, 5>
2147  L 5783 2147 <5782, 5> <5784, 4>
2148  L 5784 2148 <5783, 4> <5785, 2>
2149  L 5785 2149 <5784, 2> <5786, 3>
2150  L 5786 2150 <5785, 3> <5787, 5>
2152  L 5787 2152 <5786, 5> <5788, 4>
2154  L 5788 2154 <5787, 4> <5789, 5>
2155  L 5789 2155 <5788, 5> <5790, 1>
2156  L 5790 2156 <5789, 1> <5791, 5>
2158  L 5791 2158 <5790, 5> <5792, 5>
2159  L 5792 2159 <5791, 5> <5793, 3>
2161  L 5793 2161 <5792, 3> <5794, 4>
2163  L 5794 2163 <5793, 4> <5795, 2>
2164  L 5795 2164 <5794, 2> <5796, 3>
2165  L 5796 2165 <5795, 3> <5797, 4>
2167  L 5797 2167 <5796, 4> <5798, 3>
2169  L 5798 2169 <5797, 3> <5799, 2>
2170  L 5799 2170 <5798, 2> <5800, 5>
2172  L 5800 2172 <5799, 5> <5801, 2>
2173  L 5801 2173 <5800, 2> <5802, 5>
2174  L 5802 2174 <5801, 5> <5803, 6>
2175  L 5803 2175 <5802, 6> <5804, 5>
2177  L 5804 2177 <5803, 5> <5805, 1>
2179  L 5805 2179 <5804, 1> <5806, 1>
2180  L 5806 2180 <5805, 1> <5807, 4>
2182  L 5807 2182 <5806, 4> <5808, 6>
2183  L 5808 2183 <5807, 6> <5809, 4>
2184  L 5809 2184 <5808, 4> <5810, 5>
2186  L 5810 2186 <5809, 5> <5811, 1>
2188  L 5811 2188 <5810, 1> <5812, 3>
2189  L 5812 2189 <5811, 3> <5813, 4>
2191  L 5813 2191 <5812, 4> <5814, 4>
2192  L 5814 2192 <5813, 4> <5815, 4>
2194  L 5815 2194 <5814, 4> <5816, 2>
2195  L 5816 2195 <5815, 2> <5817, 5>
2196  L 5817 2196 <5816, 5> <5818, 3>
2198  L 5818 2198 <5817, 3> <5819, 5>
2200  L 5819 2200 <5818, 5> <5820, 5>
2202  L 5820 2202 <5819, 5> <5821, 1>
2203  L 5821 2203 <5820, 1> <5822, 6>
2204  L 5822 2204 <5821, 6> <5823, 2>
2206  L 5823 2206 <5822, 2> <5824, 4>
2208  L 5824 2208 <5823, 4> <5825, 3>
2210  L 5825 2210 <5824, 3> <5826, 4>
2212  L 5826 2212 <5825, 4> <5827, 5>
2213  L 5827 2213 <5826, 5> <5828, 3>
2214  L 5828 2214 <5827, 3> <5829, 5>
2216  L 5829 2216 <5828, 5> <5830, 4>
2217  L 5830 2217 <5829, 4> <5831, 1>
2218  L 5831 2218 <5830, 1> <5832, 1>
2220  L 5832 2220 <5831, 1> <5833, 1>
2222  L 5833 2222 <5832, 1> <5834, 2>
2223  L 5834 2223 <5833, 2> <5835, 6>
2225  L 5835 2225 <5834, 6> <5836, 1>
2227  L 5836 2227 <5835, 1> <5837, 4>
2229  L 5837 2229 <5836, 4> <5838, 5>
2230  L 5838 2230 <5837, 5> <5839, 2>
2231  L 5839 2231 <5838, 2> <5840, 4>
2233  L 5840 2233 <5839, 4> <5841, 1>
2234  L 5841 2234 <5840, 1> <5842, 2>
2236  L 5842 2236 <5841, 2> <5843, 5>
2237  L 5843 2237 <5842, 5> <5844, 1>
2238  L 5844 2238 <5843, 1> <5845, 3>
2240  L 5845 2240 <5844, 3> <5846, 5>
2242  L 5846 2242 <5845, 5> <5847, 6>
2243  L 5847 2243 <5846, 6> <5848, 4>
2244  L 5848 2244 <5847, 4> <5849, 6>
2245  L 5849 2245 <5848, 6> <5850, 2>
2247  L 5850 2247 <5849, 2> <5851, 1>
2249  L 5851 2249 <5850, 1> <5852, 3>
2250  L 5852 2250 <5851, 3> <5853, 2>
2252  L 5853 2252 <5852, 2> <5854, 2>
2253  L 5854 2253 <5853, 2> <5855, 3>
2255  L 5855 2255 <5854, 3> <5856, 5>
2257  L 5856 2257 <5855, 5> <5857, 4>
2259  L 5857 2259 <5856, 4> <5858, 3>
2261  L 5858 2261 <5857, 3> <5859, 3>
2263  L 5859 2263 <5858, 3> <5860, 3>
2264  L 5860 2264 <5859, 3> <5861, 1>
2265  L 5861 2265 <5860, 1> <5862, 4>
2266  L 5862 2266 <5861, 4> <5863, 5>
2268  L 5863 2268 <5862, 5> <5864, 6>
2269  L 5864 2269 <5863, 6> <5865, 5>
2270  L 5865 2270 <5864, 5> <5866, 3>
2272  L 5866 2272 <5865, 3> <5867, 2>
2274  L 5867 2274 <5866, 2> <5868, 4>
2275  L 5868 2275 <5867, 4> <5869, 1>
2276  L 5869 2276 <5868, 1> <5870, 3>
2278  L 5870 2278 <5869, 3> <5871, 5>
2280  L 5871 2280 <5870, 5> <5872, 2>
2282  L 5872 2282 <5871, 2> <5873, 3>
2284  L 5873 2284 <5872, 3> <5874, 3>
2286  L 5874 2286 <5873, 3> <5875, 4>
2287  L 5875 2287 <5874, 4> <5876, 1>
2289  L 5876 2289 <5875, 1> <5877, 1>
2291  L 5877 2291 <5876, 1> <5878, 2>
2292  L 5878 2292 <5877, 2> <5879, 4>
2294  L 5879 2294 <5878, 4> <5880, 2>
2296  L 5880 2296 <5879, 2> <5881, 1>
2298  L 5881 2298 <5880, 1> <5882, 4>
2299  L 5882 2299 <5881, 4> <5883, 3>
2301  L 5883 2301 <5882, 3> <5884, 2>
2303  L 5884 2303 <5883, 2> <5885, 1>
2305  L 5885 2305 <5884, 1> <5886, 5>
2306  L 5886 2306 <5885, 5> <5887, 3>
2308  L 5887 2308 <5886, 3> <5888, 5>
2309  L 5888 2309 <5887, 5> <5889, 2>
2310  L 5889 2310 <5888, 2> <5890, 4>
2312  L 5890 2312 <5889, 4> <5891, 2>
2313  L 5891 2313 <5890, 2> <5892, 2>
2315  L 5892 2315 <5891, 2> <5893, 3>
2316  L 5893 2316 <5892, 3> <5894, 5>
2317  L 5894 2317 <5893, 5> <5895, 2>
2318  L 5895 2318 <5894, 2> <5896, 4>
2319  L 5896 2319 <5895, 4> <5897, 4>
2320  L 5897 2320 <5896, 4> <5898, 5>
2322  L 5898 2322 <5897, 5> <5899, 1>
2323  L 5899 2323 <5898, 1> <5900, 5>
2325  L 5900 2325 <5899, 5> <5901, 6>
2327  L 5901 2327 <5900, 6> <5902, 2>
2329  L 5902 2329 <5901, 2> <5903, 4>
2330  L 5903 2330 <5902, 4> <5904, 1>
2331  L 5904 2331 <5903, 1> <5905, 5>
2332  L 5905 2332 <5904, 5> <5906, 3>
2333  L 5906 2333 <5905, 3> <5907, 5>
2335  L 5907 2335 <5906, 5> <5908, 4>
2336  L 5908 2336 <5907, 4> <5909, 1>
2338  L 5909 2338 <5908, 1> <5910, 4>
2340  L 5910 2340 <5909, 4> <5911, 1>
2342  L 5911 2342 <5910, 1> <5912, 1>
2344  L 5912 2344 <5911, 1> <5913, 3>
2345  L 5913 2345 <5912, 3> <5914, 4>
2346  L 5914 2346 <5913, 4> <5915, 4>
2347  L 5915 2347 <5914, 4> <5916, 5>
2348  L 5916 2348 <5915, 5> <5917, 2>
2349  L 5917 2349 <5916, 2> <5918, 2>
2351  L 5918 2351 <5917, 2> <5919, 3>
2352  L 5919 2352 <5918, 3> <5920, 2>
2354  L 5920 2354 <5919, 2> <5921, 2>
2356  L 5921 2356 <5920, 2> <5922, 2>
2357  L 5922 2357 <5921, 2> <5923, 3>
2358  L 5923 2358 <5922, 3> <5924, 5>
2359  L 5924 2359 <5923, 5> <5925, 2>
2360  L 5925 2360 <5924, 2> <5926, 6>
2362  L 5926 2362 <5925, 6> <5927, 4>
2364  L 5927 2364 <5926, 4> <5928, 3>
2365  L 5928 2365 <5927, 3> <5929, 3>
2366  L 5929 2366 <5928, 3> <5930, 1>
2368  L 5930 2368 <5929, 1> <5931, 1>
2369  L 5931 2369 <5930, 1> <5932, 5>
2370  L 5932 2370 <5931, 5> <5933, 4>
2371  L 5933 2371 <5932, 4> <5934, 1>
2373  L 5934 2373 <5933, 1> <5935, 2>
2374  L 5935 2374 <5934, 2> <5936, 4>
2376  L 5936 2376 <5935, 4> <5937, 6>
2378  L 5937 2378 <5936, 6> <5938, 1>
2380  L 5938 2380 <5937, 1> <5939, 1>
2382  L 5939 2382 <5938, 1> <5940, 5>
2383  L 5940 2383 <5939, 5> <5941, 3>
2384  L 5941 2384 <5940, 3> <5942, 5>
2386  L 5942 2386 <5941, 5> <5943, 5>
2387  L 5943 2387 <5942, 5> <5944, 1>
2388  L 5944 2388 <5943, 1> <5945, 2>
2389  L 5945 2389 <5944, 2> <5946, 6>
2390  L 5946 2390 <5945, 6> <5947, 2>
2391  L 5947 2391 <5946, 2> <5948, 4>
2392  L 5948 2392 <5947, 4> <5949, 3>
2393  L 5949 2393 <5948, 3> <5950, 3>
2394  L 5950 2394 <5949, 3> <5951, 3>
2396  L 5951 2396 <5950, 3> <5952, 2>
2398  L 5952 2398 <5951, 2> <5953, 2>
2400  L 5953 2400 <5952, 2> <5954, 3>
2401  L 5954 2401 <5953, 3> <5955, 2>
2402  L 5955 2402 <5954, 2> <5956, 3>
2404  L 5956 2404 <5955, 3> <5957, 2>
2406  L 5957 2406 <5956, 2> <5958, 3>
2407  L 5958 2407 <5957, 3> <5959, 1>
2409  L 5959 2409 <5958, 1> <5960, 5>
2411  L 5960 2411 <5959, 5> <5961, 3>
2413  L 5961 2413 <5960, 3> <5962, 5>
2414  L 5962 2414 <5961, 5> <5963, 4>
2415  L 5963 2415 <5962, 4> <5964, 1>
2416  L 5964 2416 <5963, 1> <5965, 5>
2417  L 5965 2417 <5964, 5> <5966, 6>
2419  L 5966 2419 <5965, 6> <5967, 2>
2421  L 5967 2421 <5966, 2> <5968, 5>
2423  L 5968 2423 <5967, 5> <5969, 5>
2424  L 5969 2424 <5968, 5> <5970, 4>
2425  L 5970 2425 <5969, 4> <5971, 3>
2427  L 5971 2427 <5970, 3> <5972, 5>
2429  L 5972 2429 <5971, 5> <5973, 4>
2431  L 5973 2431 <5972, 4> <5974, 1>
2433  L 5974 2433 <5973, 1> <5975, 5>
2435  L 5975 2435 <5974, 5> <5976, 3>
2436  L 5976 2436 <5975, 3> <5977, 5>
2438  L 5977 2438 <5976, 5> <5978, 3>
2439  L 5978 2439 <5977, 3> <5979, 3>
2441  L 5979 2441 <5978, 3> <5980, 1>
2443  L 5980 2443 <5979, 1> <5981, 3>
2445  L 5981 2445 <5980, 3> <5982, 2>
2446  L 5982 2446 <5981, 2> <5983, 1>
2448  L 5983 2448 <5982, 1> <5984, 5>
2450  L 5984 2450 <5983, 5> <5985, 5>
2452  L 5985 2452 <5984, 5> <5986, 3>
2454  L 5986 2454 <5985, 3> <5987, 4>
2456  L 5987 2456 <5986, 4> <5988, 3>
2458  L 5988 2458 <5987, 3> <5989, 4>
2460  L 5989 2460 <5988, 4> <5990, 3>
2462  L 5990 2462 <5989, 3> <5991, 3>
2464  L 5991 2464 <5990, 3> <5992, 1>
2466  L 5992 2466 <5991, 1> <5993, 3>
2467  L 5993 2467 <5992, 3> <5994, 4>
2469  L 5994 2469 <5993, 4> <5995, 3>
2470  L 5995 2470 <5994, 3> <5996, 6>
2472  L 5996 2472 <5995, 6> <5997, 5>
2473  L 5997 2473 <5996, 5> <5998, 5>
2474  L 5998 2474 <5997, 5> <5999, 4>
2475  L 5999 2475 <5998, 4> <6000, 6>
2476  L 6000 2476 <5999, 6> <6001, 1>
2478  L 6001 2478 <6000, 1> <6002, 3>
2479  L 6002 2479 <6001, 3> <6003, 4>
2480  L 6003 2480 <6002, 4> <6004, 1>
2481  L 6004 2481 <6003, 1> <6005, 5>
2482  L 6005 2482 <6004, 5> <6006, 4>
2483  L 6006 2483 <6005, 4> <6007, 4>
2484  L 6007 2484 <6006, 4> <6008, 3>
2485  L 6008 2485 <6007, 3> <6009, 3>
2487  L 6009 2487 <6008, 3> <6010, 5>
2489  L 6010 2489 <6009, 5> <6011, 3>
2490  L 6011 2490 <6010, 3> <6012, 6>
2492  L 6012 2492 <6011, 6> <6013, 5>
2493  L 6013 2493 <6012, 5> <6014, 2>
2494  L 6014 2494 <6013, 2> <6015, 1>
2496  L 6015 2496 <6014, 1> <6016, 6>
2498  L 6016 2498 <6015, 6> <6017, 3>
2499  L 6017 2499 <6016, 3> <6018, 4>
2501  L 6018 2501 <6017, 4> <6019, 5>
2503  L 6019 2503 <6018, 5> <6020, 1>
2505  L 6020 2505 <6019, 1> <6021, 4>
2506  L 6021 2506 <6020, 4> <6022, 6>
2507  L 6022 2507 <6021, 6> <6023, 6>
2509  L 6023 2509 <6022, 6> <6024, 3>
2511  L 6024 2511 <6023, 3> <6025, 4>
2513  L 6025 2513 <6024, 4> <6026, 5>
2515  L 6026 2515 <6025, 5> <6027, 5>
2516  L 6027 2516 <6026, 5> <6028, 3>
2518  L 6028 2518 <6027, 3> <6029, 1>
2520  L 6029 2520 <6028, 1> <6030, 5>
2521  L 6030 2521 <6029, 5> <6031, 3>
2522  L 6031 2522 <6030, 3> <6032, 2>
2523  L 6032 2523 <6031, 2> <6033, 1>
2524  L 6033 2524 <6032, 1> <6034, 2>
2526  L 6034 2526 <6033, 2> <6035, 4>
2527  L 6035 2527 <6034, 4> <6036, 3>
2529  L 6036 2529 <6035, 3> <6037, 5>
2531  L 6037 2531 <6036, 5> <6038, 1>
2533  L 6038 2533 <6037, 1> <6039, 4>
2534  L 6039 2534 <6038, 4> <6040, 1>
2536  L 6040 2536 <6039, 1> <6041, 3>
2537  L 6041 2537 <6040, 3> <6042, 1>
2539  L 6042 2539 <6041, 1> <6043, 3>
2540  L 6043 2540 <6042, 3> <6044, 5>
2542  L 6044 2542 <6043, 5> <6045, 3>
2544  L 6045 2544 <6044, 3> <6046, 2>
2546  L 6046 2546 <6045, 2> <6047, 1>
2548  L 6047 2548 <6046, 1> <6048, 3>
2550  L 6048 2550 <6047, 3> <6049, 1>
2552  L 6049 2552 <6048, 1> <6050, 1>
2553  L 6050 2553 <6049, 1> <6051, 4>
2555  L 6051 2555 <6050, 4> <6052, 1>
2557  L 6052 2557 <6051, 1> <6053, 2>
2558  L 6053 2558 <6052, 2> <6054, 1>
2559  L 6054 2559 <6053, 1> <6055, 4>
2561  L 6055 2561 <6054, 4> <6056, 4>
2562  L 6056 2562 <6055, 4> <6057, 5>
2564  L 6057 2564 <6056, 5> <6058, 2>
2565  L 6058 2565 <6057, 2> <6059, 3>
2566  L 6059 2566 <6058, 3> <6060, 1>
2567  L 6060 2567 <6059, 1> <6061, 6>
2569  L 6061 2569 <6060, 6> <6062, 5>
2571  L 6062 2571 <6061, 5> <6063, 3>
2573  L 6063 2573 <6062, 3> <6064, 6>
2575  L 6064 2575 <6063, 6> <6065, 2>
2576  L 6065 2576 <6064, 2> <6066, 2>
2577  L 6066 2577 <6065, 2> <6067, 6>
2579  L 6067 2579 <6066, 6> <6068, 2>
2581  L 6068 2581 <6067, 2> <6069, 3>
2583  L 6069 2583 <6068, 3> <6070, 5>
2585  L 6070 2585 <6069, 5> <6071, 5>
2586  L 6071 2586 <6070, 5> <6072, 2>
2588  L 6072 2588 <6071, 2> <6073, 1>
2589  L 6073 2589 <6072, 1> <6074, 5>
2591  L 6074 2591 <6073, 5> <6075, 6>
2592  L 6075 2592 <6074, 6> <6076, 5>
2593  L 6076 2593 <6075, 5> <6077, 2>
2595  L 6077 2595 <6076, 2> <6078, 1>
2596  L 6078 2596 <6077, 1> <6079, 5>
2598  L 6079 2598 <6078, 5> <6080, 4>
2599  L 6080 2599 <6079, 4> <6081, 1>
2600  L 6081 2600 <6080, 1> <6082, 6>
2602  L 6082 2602 <6081, 6> <6083, 4>
2604  L 6083 2604 <6082, 4> <6084, 4>
2606  L 6084 2606 <6083, 4> <6085, 4>
2607  L 6085 2607 <6084, 4> <6086, 2>
2608  L 6086 2608 <6085, 2> <6087, 3>
2610  L 6087 2610 <6086, 3> <6088, 4>
2612  L 6088 2612 <6087, 4> <6089, 3>
2613  L 6089 2613 <6088, 3> <6090, 2>
2614  L 6090 2614 <6089, 2> <6091, 3>
2615  L 6091 2615 <6090, 3> <6092, 1>
2617  L 6092 2617 <6091, 1> <6093, 2>
2618  L 6093 2618 <6092, 2> <6094, 1>
2619  L 6094 2619 <6093, 1> <6095, 4>
2621  L 6095 2621 <6094, 4> <6096, 2>
2623  L 6096 2623 <6095, 2> <6097, 6>
2624  L 6097 2624 <6096, 6> <6098, 6>
2625  L 6098 2625 <6097, 6> <6099, 1>
2626  L 6099 2626 <6098, 1> <6100, 3>
2627  L 6100 2627 <6099, 3> <6101, 3>
2628  L 6101 2628 <6100, 3> <6102, 1>
2630  L 6102 2630 <6101, 1> <6103, 5>
2632  L 6103 2632 <6102, 5> <6104, 2>
2634  L 6104 2634 <6103, 2> <6105, 3>
